call,bucket,n,share_of_calls,hit,hit_ex_covid
growth_yoy,ALL calls,540,1.0,0.6796296296296296,0.68
growth_yoy,<0.10pp,150,0.2777777777777778,0.5933333333333334,0.6141732283464567
growth_yoy,0.10-0.25pp,121,0.22407407407407406,0.6363636363636364,0.6111111111111112
growth_yoy,0.25-0.50pp,83,0.1537037037037037,0.6626506024096386,0.6891891891891891
growth_yoy,>0.50pp,186,0.34444444444444444,0.7849462365591398,0.7872340425531915
growth_qoq,ALL calls,225,1.0,0.6133333333333333,0.6349206349206349
growth_qoq,<0.10pp,66,0.29333333333333333,0.6363636363636364,0.65
growth_qoq,0.10-0.25pp,57,0.25333333333333335,0.5789473684210527,0.5789473684210527
growth_qoq,0.25-0.50pp,36,0.16,0.6666666666666666,0.6666666666666666
growth_qoq,>0.50pp,66,0.29333333333333333,0.5909090909090909,0.6666666666666666
inflation_yoy,ALL calls,553,1.0,0.7070524412296564,0.6825053995680346
inflation_yoy,<0.10pp,99,0.17902350813743217,0.47474747474747475,0.5113636363636364
inflation_yoy,0.10-0.25pp,183,0.3309222423146474,0.7759562841530054,0.7682119205298014
inflation_yoy,0.25-0.50pp,135,0.244122965641953,0.6666666666666666,0.6017699115044248
inflation_yoy,>0.50pp,136,0.24593128390596744,0.8235294117647058,0.7837837837837838
inflation_qoq,ALL calls,553,1.0,0.6329113924050633,0.6501079913606912
inflation_qoq,<0.10pp,345,0.6238698010849909,0.5362318840579711,0.5659722222222222
inflation_qoq,0.10-0.25pp,98,0.17721518987341772,0.7653061224489796,0.7790697674418605
inflation_qoq,0.25-0.50pp,65,0.11754068716094032,0.8615384615384616,0.875
inflation_qoq,>0.50pp,45,0.081374321880651,0.7555555555555555,0.6666666666666666
