call,bucket,n,share_of_calls,hit,hit_ex_covid
growth_yoy,ALL calls,540,1.0,0.6444444444444445,0.6377777777777778
growth_yoy,<0.10pp,90,0.16666666666666666,0.6444444444444445,0.6172839506172839
growth_yoy,0.10-0.25pp,105,0.19444444444444445,0.6,0.5517241379310345
growth_yoy,0.25-0.50pp,148,0.2740740740740741,0.49324324324324326,0.518796992481203
growth_yoy,>0.50pp,197,0.3648148148148148,0.7817258883248731,0.8053691275167785
growth_qoq,ALL calls,225,1.0,0.6533333333333333,0.6825396825396826
growth_qoq,<0.10pp,30,0.13333333333333333,0.9,1.0
growth_qoq,0.10-0.25pp,48,0.21333333333333335,0.6875,0.6666666666666666
growth_qoq,0.25-0.50pp,78,0.3466666666666667,0.5384615384615384,0.56
growth_qoq,>0.50pp,69,0.30666666666666664,0.6521739130434783,0.7142857142857143
inflation_yoy,ALL calls,553,1.0,0.6817359855334539,0.652267818574514
inflation_yoy,<0.10pp,106,0.19168173598553345,0.49056603773584906,0.5263157894736842
inflation_yoy,0.10-0.25pp,177,0.32007233273056057,0.7005649717514124,0.6758620689655173
inflation_yoy,0.25-0.50pp,134,0.2423146473779385,0.664179104477612,0.5982142857142857
inflation_yoy,>0.50pp,136,0.24593128390596744,0.8235294117647058,0.7837837837837838
inflation_qoq,ALL calls,553,1.0,0.6329113924050633,0.6501079913606912
inflation_qoq,<0.10pp,343,0.620253164556962,0.5393586005830904,0.5699300699300699
inflation_qoq,0.10-0.25pp,100,0.18083182640144665,0.75,0.7613636363636364
inflation_qoq,0.25-0.50pp,63,0.11392405063291139,0.8571428571428571,0.8703703703703703
inflation_qoq,>0.50pp,47,0.08499095840867993,0.7659574468085106,0.6857142857142857
