basis,strategy,horizon,n,hit_rate,flip_precision,flip_recall,growth_dir_hit,inflation_dir_hit,n_high_conviction,hit_rate_high_conviction,n_pred_flips,n_real_flips,flip_precision_exact,edge_vs_persistence,edge_vs_base_effects,edge_vs_random
final,base_effects,0,114,0.543859649122807,0.8243243243243243,0.8133333333333334,,,,,,,,,,
final,base_effects,1,111,0.3783783783783784,0.7794117647058824,0.7361111111111112,,,,,,,,,,
final,base_effects,2,108,0.3888888888888889,0.782608695652174,0.782608695652174,,,,,,,,,,
final,base_effects,3,105,0.42857142857142855,0.7727272727272727,0.7727272727272727,,,,,,,,,,
final,base_effects,4,102,0.2549019607843137,0.6582278481012658,0.7878787878787878,,,,,,,,,,
final,model,0,114,0.5701754385964912,0.8472222222222222,0.8133333333333334,0.6491228070175439,0.868421052631579,71.0,0.6619718309859155,72.0,75.0,0.5138888888888888,0.2807017543859649,0.02631578947368418,0.3201754385964912
final,model,1,111,0.3783783783783784,0.7469879518072289,0.8611111111111112,0.5675675675675675,0.7027027027027027,88.0,0.4090909090909091,83.0,72.0,0.2891566265060241,0.13513513513513514,0.0,0.1283783783783784
final,model,2,108,0.3888888888888889,0.7407407407407407,0.8695652173913043,0.5833333333333334,0.6759259259259259,78.0,0.38461538461538464,81.0,69.0,0.2962962962962963,0.08333333333333331,0.0,0.1388888888888889
final,model,3,105,0.38095238095238093,0.7435897435897436,0.8787878787878788,0.580952380952381,0.638095238095238,75.0,0.44,78.0,66.0,0.2692307692307692,0.15238095238095237,-0.047619047619047616,0.13095238095238093
final,model,4,102,0.3137254901960784,0.6756756756756757,0.7575757575757576,0.5098039215686274,0.6372549019607843,60.0,0.3333333333333333,74.0,66.0,0.2702702702702703,0.04901960784313725,0.05882352941176472,0.06372549019607843
final,persistence,0,114,0.2894736842105263,0.6,0.12,,,,,,,,,,
final,persistence,1,111,0.24324324324324326,0.6538461538461539,0.7083333333333334,,,,,,,,,,
final,persistence,2,108,0.3055555555555556,0.6296296296296297,0.7391304347826086,,,,,,,,,,
final,persistence,3,105,0.22857142857142856,0.6,0.6818181818181818,,,,,,,,,,
final,persistence,4,102,0.2647058823529412,0.6153846153846154,0.7272727272727273,,,,,,,,,,
final,random,0,114,0.25,,,0.5,0.5,,,,,,,,
final,random,1,111,0.25,,,0.5,0.5,,,,,,,,
final,random,2,108,0.25,,,0.5,0.5,,,,,,,,
final,random,3,105,0.25,,,0.5,0.5,,,,,,,,
final,random,4,102,0.25,,,0.5,0.5,,,,,,,,
first_release,base_effects,0,114,0.5701754385964912,0.9090909090909091,0.8641975308641975,,,,,,,,,,
first_release,base_effects,1,111,0.4594594594594595,0.8831168831168831,0.8717948717948718,,,,,,,,,,
first_release,base_effects,2,108,0.4166666666666667,0.8461538461538461,0.88,,,,,,,,,,
first_release,base_effects,3,105,0.4,0.84,0.875,,,,,,,,,,
first_release,base_effects,4,102,0.30392156862745096,0.6746987951807228,0.8115942028985508,,,,,,,,,,
first_release,model,0,114,0.6403508771929824,0.9102564102564102,0.8765432098765432,0.7192982456140351,0.868421052631579,71.0,0.704225352112676,78.0,81.0,0.6025641025641025,0.3508771929824561,0.07017543859649122,0.39035087719298245
first_release,model,1,111,0.3783783783783784,0.7906976744186046,0.8717948717948718,0.5675675675675675,0.7027027027027027,88.0,0.4090909090909091,86.0,78.0,0.313953488372093,0.10810810810810811,-0.08108108108108109,0.1283783783783784
first_release,model,2,108,0.3888888888888889,0.7906976744186046,0.9066666666666666,0.5833333333333334,0.6759259259259259,78.0,0.34615384615384615,86.0,75.0,0.313953488372093,0.1388888888888889,-0.02777777777777779,0.1388888888888889
first_release,model,3,105,0.3523809523809524,0.782051282051282,0.8472222222222222,0.6095238095238096,0.638095238095238,75.0,0.36,78.0,72.0,0.2692307692307692,0.1523809523809524,-0.047619047619047616,0.1023809523809524
first_release,model,4,102,0.2549019607843137,0.6756756756756757,0.7246376811594203,0.4803921568627451,0.6372549019607843,60.0,0.25,74.0,69.0,0.22972972972972974,-0.03921568627450983,-0.04901960784313725,0.004901960784313708
first_release,persistence,0,114,0.2894736842105263,,0.0,,,,,,,,,,
first_release,persistence,1,111,0.2702702702702703,0.7692307692307693,0.7692307692307693,,,,,,,,,,
first_release,persistence,2,108,0.25,0.6923076923076923,0.72,,,,,,,,,,
first_release,persistence,3,105,0.2,0.6153846153846154,0.6666666666666666,,,,,,,,,,
first_release,persistence,4,102,0.29411764705882354,0.6666666666666666,0.782608695652174,,,,,,,,,,
first_release,random,0,114,0.25,,,0.5,0.5,,,,,,,,
first_release,random,1,111,0.25,,,0.5,0.5,,,,,,,,
first_release,random,2,108,0.25,,,0.5,0.5,,,,,,,,
first_release,random,3,105,0.25,,,0.5,0.5,,,,,,,,
first_release,random,4,102,0.25,,,0.5,0.5,,,,,,,,
