basis,strategy,horizon,revision_mode,n,hit_rate,flip_precision,flip_recall,growth_dir_hit,inflation_dir_hit,n_high_conviction,hit_rate_high_conviction,n_pred_flips,n_real_flips,flip_precision_exact,edge_vs_persistence,edge_vs_base_effects,edge_vs_random
final,base_effects,1,noise,168,0.39285714285714285,0.6692913385826772,0.7870370370370371,,,,,,,,,,
final,base_effects,2,noise,168,0.32142857142857145,0.6268656716417911,0.7777777777777778,,,,,,,,,,
final,base_effects,3,noise,165,0.2909090909090909,0.625,0.7619047619047619,,,,,,,,,,
final,base_effects,4,noise,162,0.29012345679012347,0.6902654867256637,0.7428571428571429,,,,,,,,,,
final,model,1,noise,168,0.35119047619047616,0.7007874015748031,0.8240740740740741,0.6726190476190477,0.5714285714285714,108.0,0.42592592592592593,127.0,108.0,0.29133858267716534,0.04166666666666663,-0.041666666666666685,0.10119047619047616
final,model,2,noise,168,0.32142857142857145,0.65625,0.7777777777777778,0.6190476190476191,0.6190476190476191,117.0,0.3333333333333333,128.0,108.0,0.296875,0.10714285714285718,0.0,0.07142857142857145
final,model,3,noise,165,0.38181818181818183,0.6475409836065574,0.7523809523809524,0.6,0.6424242424242425,114.0,0.3684210526315789,122.0,105.0,0.3770491803278688,0.20606060606060608,0.09090909090909094,0.13181818181818183
final,model,4,noise,162,0.41358024691358025,0.75,0.7142857142857143,0.5987654320987654,0.6666666666666666,108.0,0.4537037037037037,100.0,105.0,0.35,0.19753086419753088,0.12345679012345678,0.16358024691358025
final,persistence,1,noise,168,0.30952380952380953,0.6923076923076923,0.6666666666666666,,,,,,,,,,
final,persistence,2,noise,168,0.21428571428571427,0.6293103448275862,0.6759259259259259,,,,,,,,,,
final,persistence,3,noise,165,0.17575757575757575,0.627906976744186,0.7714285714285715,,,,,,,,,,
final,persistence,4,noise,162,0.21604938271604937,0.6165413533834586,0.780952380952381,,,,,,,,,,
final,random,1,noise,168,0.25,,,0.5,0.5,,,,,,,,
final,random,2,noise,168,0.25,,,0.5,0.5,,,,,,,,
final,random,3,noise,165,0.25,,,0.5,0.5,,,,,,,,
final,random,4,noise,162,0.25,,,0.5,0.5,,,,,,,,
first_release,base_effects,1,noise,168,0.4642857142857143,0.6885245901639344,0.7777777777777778,,,,,,,,,,
first_release,base_effects,2,noise,168,0.44642857142857145,0.6796875,0.8055555555555556,,,,,,,,,,
first_release,base_effects,3,noise,165,0.3696969696969697,0.6507936507936508,0.780952380952381,,,,,,,,,,
first_release,base_effects,4,noise,162,0.2716049382716049,0.6554621848739496,0.7428571428571429,,,,,,,,,,
first_release,model,1,noise,168,0.35119047619047616,0.6771653543307087,0.7962962962962963,0.7142857142857143,0.5714285714285714,108.0,0.42592592592592593,127.0,108.0,0.31496062992125984,0.11904761904761901,-0.11309523809523814,0.10119047619047616
first_release,model,2,noise,168,0.35119047619047616,0.6666666666666666,0.7777777777777778,0.7023809523809523,0.6190476190476191,117.0,0.358974358974359,126.0,108.0,0.3253968253968254,0.17857142857142855,-0.09523809523809529,0.10119047619047616
first_release,model,3,noise,165,0.4,0.6694915254237288,0.7523809523809524,0.6848484848484848,0.6424242424242425,114.0,0.41228070175438597,118.0,105.0,0.3813559322033898,0.2666666666666667,0.03030303030303033,0.15000000000000002
first_release,model,4,noise,162,0.4382716049382716,0.7395833333333334,0.6761904761904762,0.6111111111111112,0.6666666666666666,108.0,0.5092592592592593,96.0,105.0,0.40625,0.29012345679012347,0.16666666666666669,0.1882716049382716
first_release,persistence,1,noise,168,0.23214285714285715,0.6106194690265486,0.6388888888888888,,,,,,,,,,
first_release,persistence,2,noise,168,0.17261904761904762,0.5968992248062015,0.7129629629629629,,,,,,,,,,
first_release,persistence,3,noise,165,0.13333333333333333,0.625,0.8095238095238095,,,,,,,,,,
first_release,persistence,4,noise,162,0.14814814814814814,0.6071428571428571,0.8095238095238095,,,,,,,,,,
first_release,random,1,noise,168,0.25,,,0.5,0.5,,,,,,,,
first_release,random,2,noise,168,0.25,,,0.5,0.5,,,,,,,,
first_release,random,3,noise,165,0.25,,,0.5,0.5,,,,,,,,
first_release,random,4,noise,162,0.25,,,0.5,0.5,,,,,,,,
